name,author,date,stars,title,helpful_yes,helpful_no,text;;;
"Salted Caramel Core,Aggs,2017-06-08,5,My all time favorite ice cream!!!,1,1,""I.JUST.LOVE this ice cream!!! if I eat ice cream, it must always be B&J salted caramel core! I think I'm addicted. It's a perfect combination between sweet and salty, plus delicious caramel and chewy chunks. I noticed that some pints don't have that much chunks but the vanilla ice cream itself is pretty yummy and honestly, I cannot stay mad for long haha! If B&J's ever discontinue this flavor, I think it could be the end of my world!""";;;
"Salted Caramel Core,Andrew5,2017-04-12,5,Absolutely fantastic,2,2,""I bought this ice cream simply based on the fact that I was craving caramel. But with this wonderful ice cream, you get so much more. Not only is the Ice cream and blonde Brownies perfect...but the caramel is just so good. You almost want to save the caramel as long as you can because how perfect the flavor is. It's the perfect amounts of sweet and salty.""";;;
"Salted Caramel Core,Curt,2018-03-08,1,Way too salty,2,1,""There must have been some sort of mistake with the amount of salt mixed into the caramel. Nobody would but that much saint into a desert. The pint it's still on our freezer. On a side note, Cherry Garcia is the best ice cream ever made.""";;;
Salted Caramel Core,Sheyla1110,2018-03-09,2,SALTY!!!,1,0,Tried this flavor for the first time about two weeks ago it was delicious; But today I’m extremely disappointed. The core is so salty in this pint. I had other people try and they also agreed it was too salty. Don’t think I’m buying again.;;
"Salted Caramel Core,Margaret,2018-09-07,2,Too salty,1,0,""I am a lover of all things caramel, and while the ice cream and the blonde bites were delicious, I found myself eating around the core because it was just too salty. Tasted like caramel flavored salt. Very disappointed in this flavor.""";;;
Salted Caramel Core,Ohlivia,2017-06-05,5,I love it I love it.,2,1,Salted caramel core is in my top three. My eating tactic is to scoop the ice cream from the outside and then smash the back of the spoon into the core so when I take a bite the first thing I'm hit with is salty and then it's sweet.;;;
"Salted Caramel Core,Atsoli,2018-06-03,1,Horrible!,1,0,""My daughter picked up this flavor for me to try because I love Carmel. I have to say, this is the worst flavor I have ever had. The blonde fudge was bland but the salted Carmel was the worst. It was so salty that I couldn't eat it.""";;;
"Salted Caramel Core,Ashley L,2018-09-23,2,Has potential,1,0,""I love Ben & Jerry and was excited about the Salted Caramel Core, BUT the caramel is WAY to salty. I even tried to eat it with more ice cream But the salty flavor is too powerful. Disappointed, I know Ben & Jerry could do better !""";;;
Salted Caramel Core,Mpitts,2017-05-21,1,Not a fan of brownie chunks,1,0,I really can't stand the flavors with chunks of cookie/brownie. It seems like I'm eating something stale. I'm in the minority but I stopped going to a convenience store near me because all they carried were those types.;;;
"Salted Caramel Core,Raebirds,2019-01-28,3,Too Salty for my buds,1,0,""I had high hopes for this flavor, but the carmel core was way too salty. I was hoping for a sweeter kraft caramel taste. The blonde brownie bites were just okay...not much traditional brownie flavor. Won’t buy again.""";;;
Salted Caramel Core,Iceicecream430,2018-02-11,1,Don’t buy this one!,1,0,I absolutely love Ben and Jerrys ice cream but this one was horrible. The picture looks like there will be tons and brownies and there were only 5 tiny bites in the whole pint. The caramel core was overly salty too.;;;
Salted Caramel Core,gilderoy,2019-07-12,1,the worst thing to ever be in my mouth,1,0,the caramel tastes like salty death. I think I have sodium poisoning from one bite. Gross as heck like why would you do this to people. Who let this pass the taste test??? Fr fr are y’alls tongues blind?;;;
"Salted Caramel Core,MikeA128,2017-10-30,3,Used to love! Keyword’s “used to”,0,1,""I found the salted caramel core shortly after discovering Karamel Sutra. Needless to say I fell in love! The flavors were amazing and the gooey salted caramel and blondie chunks went perfect together. Until the last 12, yes I said 12! Pints I bought, all fell short. They either had very few brownie chunks, the core stopped halfway through, or there was a pocket of air at the bottom where caramel should have been. I give up! I want my salted caramel, but not at 4.50/pt to be left unhappy.""";;;
"Salted Caramel Core,Gabby,2017-10-17,2,Didn't like it,1,0,""I tried this ice cream when it first came out, didn't care for it. It seemed as though it was missing something and I really didn't like the salted caramel. I like the Karamel Sutra much better.""";;;
"Salted Caramel Core,klyoliphant,2017-07-14,3,""Good ice cream, too salty"",1,0,""The sweet cream and blondie chunks were delicious, but the core was almost too salty to eat. The taste of salt was completely overpowering the caramel flavor. Good overall, just needs less salt.""";;;
Salted Caramel Core,DeeMarieT,2018-08-11,1,Too salty,1,0,The core just tastes like salt with no caramel flavour. The ice-cream was floury & the blonde brownie pieces had no taste. Worst flavour I’ve ever had. Very disappointed. :(;;;
Salted Caramel Core,GAPat,2019-06-24,3,Meh!,1,0,The ice-cream is disappointingly tasteless...why not use vanilla. The caramel us too salty and intense...why not swirled? The brownie bites were few and far between.;;;
"Salted Caramel Core,Jade_12,2017-06-19,2,""Brownies good, Caramel not so much"",1,0,I love Ben and Jerrys! The brownies and ice cream were very good! The caramel was just overwhelmingly salty. I couldn't even eat it. Maybe it's just not for me. :(";;;
Salted Caramel Core,Jmask,2018-07-15,1,Very salty,1,0,I had looked forward to trying this flavor but found the core saltier than the ocean. As someone who loves caramel this is the worst caramel I have ever tried. I;;;
"Salted Caramel Core,VJRaye,2017-10-05,2,SALTY!!,1,1,""Typically I love salted caramel desserts (or caramel in general), so when I saw this ice cream I was eager to try it. That caramel core nearly knocked me over with its saltiness!! For me, it overpowered the combined flavor of sweet cream, brownies and caramel. I agree with the other reviewers, vanilla ice cream might have been a better balance. However, I do like the blondies. So close!! :-(""";;;
"Salted Caramel Core,Drew C,2018-09-09,3,Almost Delicious,0,1,""the flavors are great and they work well together. Unfortunately, they do not work well with the core concept. The caramel would be much better if it were evenly distributed throughout the ice cream, rather than isolated in one huge pool. The blondies could pack a bit more flavor as well. So far, I have yet to have a variety of Ben & Jerry's core flavors that would not taste better if the flavors were evenly distributed. They almost taste like a cheap Ben & Jerry's knockoff.""";;;
Salted Caramel Core,USAFVeteran87,2017-06-27,2,Great but really salty in the caramel core...,1,1,I bought this favor couple of days ago and thought what could be bad about a salted caramel core. Everything was great except the core was so salty that it drowned out the other favors. I do mean salty the 180 mg are in the caramel core. It left a nasty taste in my mouth. Anybody who needs to watch there salt intake shouldn't eat this ice cream favor.;;;
"Salted Caramel Core,Kmorrow14,2019-11-21,5,Please never discontinue.,0,0,""I don't even understand how anyone could have anything bad to say about this ice cream. The sweat cream base is just the right about of sweet. The salted caramel core is almost bitter on it's own but when paired together they are such a great couple, plus the blondie bites! I am a digger and I never run out of these delicious gems. I will cry If they discontinue this one. For someone that doesn't want an overly sweet ice cream this is perfect.""";;;
Salted Caramel Core,Frankrizzo609,2020-05-12,5,Perfect combination!,0,0,Honestly have no idea why people are complaining about this. There couldn’t have been a better pairing of delicious succulent sweet cream ice cream paired with blonde brownies and topped off with savoring salted caramel to make your taste buds smile with such joy. I’ve been buying a pint every week for the past 3 months and haven’t had the urge to try a different flavor. Please don’t ever discontinue this flavor it makes belly very happy;;;
"Salted Caramel Core,vtmaple,2017-05-04,3,Shaken to the Core,0,1,""My husband was away for the evening, and I felt like a little R&R so I headed to the store for some trusty B&J. I decided to go for a flavor I'd never tried. The description sounded so delicious. And delicious it was! Until, I discovered the core was no more than a dollop on top. At about an inch deep it just vanished, leaving me with nothing but the ice cream and blondies... pretty good stuff, but I'm disappointed at the lack of core.""";;;
"Salted Caramel Core,MELA,2018-04-19,2,Too Salty,1,1,""That Salted Carmel Core is WAY WAY too Salty. I tired this when it firs came out and I hate it because it was too salty, but I decided to give it another try to see if the formula had been tweaked.. and nope, it has not. So So SO salty. Like others below, I scooped out the core and ate around what I could.""";;;
"Salted Caramel Core,Nick,2017-07-14,5,Great ice cream,1,1,""This flavor is magnificent. The sweet cream ice cream works perfectly with the caramel and blondies. And the blondies are particularly great - soft and flavorful. I'm always scared that this flavor will go to the graveyard. Please, Ben and Jerry's, don't discontinue salted caramel core!""";;;
